"","Data","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf","time to 90%"
"1","Mark Recapture","60.9189377985747","5.31823902264759","0.299576131690546","0.947570997648339","0.19182947081589","2.0991722738251","0","0","0","0",7.68614335194285
"2","Length at Age","65.7556850202794","6.62656220636648","0.296995253661456","1","0.1","1","0","-0.161005174288785","0.614421724205211","1",7.59193048581693
"3","Length Frequency (Unconstrained)","104.119463467666","1","0.05","1","0.1","1","0","-2.2589423523908","1","1.0519200341287",43.7927595074901
"4","Length Frequency (Constrained)","65.7556850202794","1","0.0879946044954131","1","0.1","1","0","-2.09410647157055","1","1.05249102653338",24.0732376081914
"5","All Data - Equal Weighting","71.3830500185742","5.10571095297289","0.175145673796239","1.26099918099737","0.155496519396943","2.59168795707807","0","-0.542563959926727","4.52340765468258","2.71169091262382",12.604121556684
"6","All Data - Weighted by n","64.7540957557734","5.6123295918081","0.26097106586276","1.00096243768388","0.18210765324979","2.2066041239683","0","-0.317461945609754","1.8263419136902","4.38118879404542",8.50568128439466
"7","Separated Data - Equal Weighting","66.841415534186","5.51741842038165","0.254735055665525","0.982459319465227","0.178243020626092","2.31912000237591","0","-0.267733843101187","1.31067558748822","4.31661966210443",8.77140325947888
"8","Separated Data - Weighted by n","64.7541396045149","5.61232955229792","0.260970299046854","1.00096383752185","0.182107665921343","2.2066042002805","0","-0.31746453477887","1.82634518760818","4.38118736832894",8.50570462049978
"9","Separated Data - Equal Weighting - No R&M","68.9191345263871","4.21194399754346","0.158693075035258","1.42365560158123","0.149901402422884","3.08101769288345","0","-0.711385794939296","1.50375327850937","2.13706453373376",13.7982901470164
"10","Separated Data - Weighted by n - No R&M","67.7422167073484","5.02272059447758","0.216289200456703","1.12019229848847","0.168908925948325","2.40950291108726","0","-0.373798397345643","1.00867955769289","3.38647206921066",10.2720641243709
