"","model_id","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf","time to 90%"
"1","Model 5 - Mark Recapture - All Data","60.9189377985747","5.31823902264759","0.299576131690546","0.947570997648339","0.19182947081589","2.0991722738251","0","0","0","0",7.68614335194285
"2","Length at Age","65.7556850202794","6.62656220636648","0.296995253661456","1","0.1","1","0","-0.161005174288785","0.614421724205211","1",7.59193048581693
"3","Length Frequency (Unconstrained)","54.259971173584","1","0.13395530003428","1","0.1","1","0","-1.52360438986991","1","0.812915337290174",15.6656004598434
"4","Length Frequency (Constrained)","78","1","0.083321055901382","1","0.1","1","0","-1.66641341378639","1","0.812614854476291",25.9686791577644
"5","Model 6 - All Data - Equal Weighting","77.8735604854583","5.98186823590657","0.12295916723431","1.5","0.129132134649961","2.9756015430366","0","-0.860037304627987","6.77621598035643","1.35352167620167",17.8663833827068
"6","Model 7 - All Data - Weighted by n","64.7402355482188","5.62403333289008","0.261176379453536","1.00055503169667","0.182201119843575","2.20465915591545","0","-0.312428743820374","1.8145774222751","4.06502539114735",8.50377851738673
"7","Model 8 - Separated Data - Equal Weighting","66.8705840892137","5.52805592676817","0.253315160157838","0.987248724687939","0.178075957274398","2.31545784460867","0","-0.267915243791479","1.32974254161442","3.92682000673431",8.82188850723285
"8","Model 9 - Separated Data - Weighted by n","64.7402505589835","5.6240401407454","0.261176035850035","1.00055679342331","0.182201363314768","2.20465915369978","0","-0.312428547837924","1.81457482577404","4.06505339814092",8.50379031198186
"9","Model 10 - Separated Data - Equal Weighting - No R&M","69.3353263405643","4.25300878620408","0.146672251145234","1.5","0.143711274698818","3.28640133521474","0","-0.795479028171711","1.61152612573113","1.44447078087158",14.9033670385873
"10","Model 11 - Separated Data - Weighted by n - No R&M","69.3353263405643","4.25300878620408","0.146672251145234","1.5","0.143711274698818","3.28640133521474","0","-0.795479028171711","1.61152612573113","1.44447078087158",14.9033670385873
